"comic_id","collection_id"
15808,16621
37400,21085
29453,29452
29452,29453
26501,28798
25939,25940
25325,31495
26677,26678
25938,25940
26676,26678
27577,25940
24164,26678
24241,25940
23940,26763
23850,29131
23934,27188
23965,26678
24040,25940
23984,26763
23748,26763
23744,27188
23765,26678
23610,24087
23790,26763
23605,26678
23116,24087
23117,24087
23118,24087
23167,23884
23109,26678
23161,24089
22876,27188
22991,23884
22484,26705
22918,24087
22919,24087
22920,24087
22908,26678
22527,23208
22985,24089
22471,23195
22544,28596
22475,27188
22512,24087
22513,24087
22514,24087
22575,23884
22566,24089
21947,26705
22265,23195
22332,23208
22853,29389
22852,29389
22306,24087
22307,24087
22308,24087
22355,23879
22356,23879
22376,24089
22384,23884
22387,27359
22851,29389
26923,24316
21936,23195
21967,23677
21968,23677
22850,29389
21982,24087
21983,24087
22001,23208
22021,24958
22021,24957
22052,23884
22028,23879
22029,23879
21708,23195
21709,22410
21710,27188
21767,23208
21535,23677
21536,23677
21787,23879
21506,23195
21508,27188
21518,26705
21507,22410
21520,22397
21572,23208
21589,23879
21543,22400
20993,24316
20999,23677
21325,23195
25378,23677
21326,22410
21330,27188
21340,22397
21363,22400
21398,23208
21415,23879
21416,23879
20674,24514
21176,21818
21187,26705
21220,21811
21177,22410
21189,22397
21223,22400
21252,23208
21272,23879
21273,23879
21274,23879
21275,23879
21276,23879
21277,23879
20967,21608
21014,21823
20845,26705
20863,23677
20966,21818
21006,21811
20981,22397
21034,23208
21059,22400
20829,21818
20830,21608
20837,21085
20872,21811
20882,21823
20652,26705
20842,22061
20847,22397
20682,21289
20876,22400
17363,21604
20637,21818
20647,22061
20677,21811
20680,24066
20680,21426
20684,21823
20689,21432
20689,17675
20638,21608
20654,22397
20663,24316
20668,23677
17641,21289
20646,21085
17584,21818
17585,21608
17599,22061
17600,22061
17637,21057
17647,21432
17647,17675
17353,24514
17353,21422
17575,22395
17618,24316
17640,24066
17640,21426
17643,21823
17595,22395
17675,21432
17247,21085
17615,22395
17624,23677
6193,17472
17576,22395
17623,23677
17649,21065
17229,21604
17334,22395
17343,20719
17359,22061
17399,24066
17399,21426
16519,21802
17344,21608
17356,22395
21915,22395
17293,21085
17336,22395
17378,24316
17205,22395
17213,20719
20803,17304
17223,22395
17227,22061
16481,21604
16559,21287
16560,21287
17241,22395
16119,21422
17206,22395
17254,21283
17254,21085
16600,22395
16441,21618
16452,20719
16491,17304
15965,21802
16476,22061
16547,24066
16547,21426
16444,16661
16443,21618
16440,21618
16451,20719
16542,17302
16565,20728
16610,16636
16610,16036
16467,21618
16475,21424
16475,17325
16557,21287
16558,21287
16134,17304
16450,20719
16479,21604
16504,21618
16513,17326
16522,17305
6314,16204
15946,16630
16442,21618
16103,16661
16122,23217
16122,16643
16131,17324
16162,21300
16162,17302
16183,21300
16101,21618
16171,16642
20801,17313
6309,21422
16108,20719
16120,21618
16125,21424
16125,17325
16144,20727
16142,21618
16146,20938
16147,17326
16149,16628
16151,17305
16155,17308
15829,16630
15922,16661
15968,21283
15989,16644
16102,21618
16128,21604
16137,20941
16141,17301
16152,20724
16168,21287
16169,21287
5956,17472
6039,17472
15855,21802
15920,21618
15931,20720
15939,23217
15939,16643
15942,21300
15947,17324
15986,16642
15999,21300
15926,16621
15927,16621
15937,21618
15941,21424
15941,17325
15960,21300
15961,17313
15976,21300
