"comic_id","variant_id"
82967,82965
82967,82970
82967,82969
82967,74697
82967,72736
82967,75668
82967,65364
82967,65158
82967,65028
82967,75662
82967,74320
82967,73776
82965,82967
82965,82970
82965,82969
82965,74697
82965,72736
82965,75668
82965,65364
82965,65158
82965,65028
82965,75662
82965,74320
82965,73776
82970,82967
82970,82965
82970,82969
82970,74697
82970,72736
82970,75668
82970,65364
82970,65158
82970,65028
82970,75662
82970,74320
82970,73776
15878,15876
15878,15877
15878,6257
27649,27648
15808,15809
15808,21901
21171,21172
25856,25857
25856,25855
25856,25860
25856,25861
25856,25858
25856,25859
59754,58683
59754,58879
59754,59180
59754,59454
59548,56155
59548,60075
58587,55319
59527,57385
59527,59096
59527,60056
84671,84348
84671,84672
84676,83993
84676,84677
84676,84678
84105,84325
84678,83993
84678,84676
84678,84677
84677,83993
84677,84676
84677,84678
83993,84676
83993,84677
83993,84678
84672,84348
84672,84671
84348,84672
84348,84671
84325,84105
82186,84217
84195,80487
83364,84115
84153,85654
84153,84461
84200,78699
84200,84198
84200,84199
84200,84201
78699,84198
78699,84199
78699,84200
78699,84201
80487,84195
78612,82539
84199,84200
84199,84201
84199,78699
84199,84198
84197,77507
77345,84163
77345,84164
77107,84106
84136,78388
80038,84191
84191,80038
78388,84136
77507,84197
78629,84245
84175,80461
84175,84042
84175,84174
84163,77345
84163,84164
80461,84175
80461,84042
80461,84174
84164,77345
84164,84163
84042,80461
84042,84175
84042,84174
84198,78699
84198,84199
84198,84200
84198,84201
84201,78699
84201,84198
84201,84199
84201,84200
84245,78629
82539,78612
84217,82186
84106,77107
84174,80461
84174,84175
84174,84042
85654,84153
85654,84461
84115,83364
83977,84207
77993,84282
77993,84283
77993,84284
77993,84285
77993,84286
76160,84114
83539,77492
78622,84189
78622,84190
84286,84282
84286,77993
84286,84283
84286,84284
84286,84285
84207,83977
84226,80531
84226,84224
84226,84225
84226,84227
84226,84969
84130,84128
84130,84129
84130,83375
77492,83539
84114,76160
84110,81176
84110,84109
84110,84108
78696,83550
84224,80531
84224,84225
84224,84226
84224,84227
84224,84969
84129,84128
84129,84130
84129,83375
80531,84224
80531,84225
80531,84226
80531,84227
80531,84969
84282,77993
84282,84283
84282,84284
84282,84285
84282,84286
84108,81176
84108,84109
84108,84110
84283,84282
84283,77993
84283,84284
84283,84285
84283,84286
85554,85553
85554,85555
84190,78622
84190,84189
84196,77158
84285,84282
84285,77993
84285,84283
84285,84284
84285,84286
81176,84109
81176,84110
81176,84108
85555,85553
85555,85554
84109,81176
84109,84110
84109,84108
77158,84196
84189,78622
84189,84190
85553,85554
85553,85555
84284,84282
84284,77993
84284,84283
84284,84285
84284,84286
83550,78696
78524,84134
84128,84129
84128,84130
84128,83375
84225,80531
84225,84224
84225,84226
84225,84227
84225,84969
84227,80531
84227,84224
84227,84225
84227,84226
84227,84969
83375,84130
83375,84128
83375,84129
84969,80531
84969,84224
84969,84225
84969,84226
84969,84227
84134,78524
83575,80591
83575,83576
81076,83563
81076,83564
83932,76762
83935,76794
83576,80591
83576,83575
76807,83936
77495,83541
71657,83262
80509,83594
77499,83542
77344,83629
84178,84327
83564,81076
83564,83563
83936,76807
76794,83935
83928,76747
77847,84031
83563,81076
83563,83564
83629,77344
83628,77447
71755,83587
80591,83575
80591,83576
84014,84013
83593,79748
83262,71657
77823,83592
83594,80509
84031,77847
76747,83928
79748,83593
76762,83932
84013,84014
83541,77495
77447,83628
83542,77499
83592,77823
84327,84178
83587,71755
83491,82184
83491,83469
83491,83470
83549,78683
83549,83544
83549,83545
83549,83546
83549,83547
83549,83548
83549,84150
77218,83585
78683,83544
78683,83545
78683,83546
78683,83547
78683,83548
78683,83549
78683,84150
83585,77218
83470,82184
83470,83469
83470,83491
81086,83574
83546,78683
83546,83544
83546,83545
83546,83547
83546,83548
83546,83549
83546,84150
82184,83469
82184,83470
82184,83491
83469,83470
83469,83491
83469,82184
83991,83989
83991,83990
83991,83992
77790,83624
83989,83990
83989,83991
83989,83992
83618,82498
83618,83619
83548,78683
83548,83544
83548,83545
83548,83546
83548,83547
83548,83549
83548,84150
83545,78683
83545,83544
83545,83546
83545,83547
83545,83548
83545,83549
83545,84150
83547,78683
83547,83544
83547,83545
83547,83546
83547,83548
83547,83549
83547,84150
84150,78683
84150,83544
84150,83545
84150,83546
84150,83547
84150,83548
84150,83549
