"event_id","next_event_id"
116,240
227,239
314,315
303,302
229,293
293,277
231,246
233,116
234,245
310,311
320,321
235,219
296,303
238,255
239,154
318,276
240,280
332,336
245,251
246,248
297,273
248,252
249,235
302,306
287,294
251,266
252,233
315,316
253,29
29,151
317,319
255,229
32,253
258,231
311,314
151,249
37,234
299,269
298,297
263,258
154,37
319,320
266,212
212,238
304,305
295,279
336,322
269,318
270,271
323,332
271,263
59,296
309,310
273,295
219,227
305,308
321,323
294,59
276,298
277,60
60,299
316,317
308,309
306,304
279,287
280,32
