"serie_id","next_serie_id"
489,783
1097,6807
2987,1987
3613,2504
1991,3621
1996,6478
8213,9121
1067,3904
2002,449
2005,5701
2121,2123
855,974
465,3374
3762,9350
2021,465
2023,3654
2572,835
2029,13577
13577,2572
2032,2083
530,10830
866,9748
998,2844
2048,6282
947,8577
753,9922
2055,3633
16341,839
2281,744
2504,9950
2062,612
2584,843
4423,6391
2063,3694
9934,12233
9178,12348
2076,2985
2079,1996
2080,2021
1987,454
835,4889
2083,581
581,2473
18527,789
2296,715
466,8509
474,8512
664,709
6182,8548
14914,17602
2258,14914
632,7057
2096,2258
2262,632
2400,3374
2098,762
3839,9976
3633,462
2265,2281
403,3754
756,1114
