"serie_id","previous_serie_id"
454,1987
3613,1077
9085,753
9086,1945
9706,758
13830,832
1996,2079
832,485
8213,832
12966,9791
1067,418
9368,7707
449,2002
789,18527
7707,6
5701,693
2005,2004
9746,4
9343,9309
14701,13827
421,2123
10616,6
855,740
465,2021
3762,465
2023,2081
2572,13577
2029,2079
13577,2029
9718,5202
998,702
9922,753
753,354
2055,2315
7455,2055
839,16341
2281,2265
2504,3613
9930,6480
4423,5104
9934,449
9178,9057
9748,866
25461,20109
9193,8771
1987,2987
835,2572
2083,2032
581,2083
2473,581
18527,788
8498,3188
8509,466
8512,474
6182,3188
9976,3839
14914,2258
17602,14914
632,2262
9962,632
2096,2258
2262,2096
2400,465
9367,981
1035,2098
2098,2258
3839,4559
3633,2055
9906,2258
2265,2258
403,2281
9978,8686
3754,403
10613,9009
